Etapa,Punto de contacto,¿Como se hará?,¿Qué Hago?,¿Qué necesito?,Responsable,Tiempo,Entregable 
Selección,Aceptación de Candidato,Virtual,Correo homologado. /Llamada,"1.Diseñar mensaje de comunicación. 
2. Escribir correo y Llamar a candidato seleccionado e informar que fue aceptado.
3. Enviar correo a candidatos no aptos para comunicar que el proceso ha terminado. ",Jefe de Recursos Humanos Centro Trabajo,El día que es seleccionado el colaborador.,Correo electrónico.
Selección,Junta de Nuevos Ingresos AMarine,Virtual,Sesión General en zoom,"1. Preparar presentación de información general de la empresa para colaboradores de nuevo ingreso.  
2. . Diseño de Check list y encuesta de satisfacción.
3.Agendar sesión vía zoom.       
4. Enviar invitación a nuevos ingresos.  
5. Realizar sesión.
6. Presentar tema.   
7. Explicar proceso de capacitación y compartir programa. 
8. Tiempo para resolver dudas.
9. Compartir link de Check list y encuesta de satisfacción.
9. Descargar lista de asistencia.      
10. Cerrar sesión.

",Coordinador/Jefe de Recursos Humanos General. (Rotación de Coordinador Mensual),"1 día antes de la capacitación.

(Al mes, por nuevos ingresos)","Lista de participantes.
Capturas de pantalla de sesión. 

Check list y resultados de encuesta de satisfacción."
Capacitación,Seguimiento diario /Junta Semanal de Avance Capacitación Nuevo Ingreso,Virtual,Sesión semanal y Chat whatsApp,"1. Crear un grupo de whatsApp. 
2. Diseño de Check list y encuesta de satisfacción.
3. Dar seguimiento diario de asistencia a cursos.  
4. Compartir relación de asistencia semanal a cursos.
5. Agendar sesión una vez a la semana vía zoom.    
6. Enviar invitación a participantes.    
7. Realizar sesión. 
8. Aclarar dudas.
9. Compartir link de  Check list y encuesta de satisfacción en cada sesión.
10. Descargar lista de asistencia.
11. Notificar la conclusión del programa de capacitación (en what y ultima sesión). 
12 Cerrar sesión.",Recursos Humanos de zona.,Sesión cada viernes  de acuerdo al plan de capacitación (no interferir en horario de cursos),"Lista de participantes.
Captura de pantalla de sesión.

Captura de lista de participantes de grupo de whatsApp. Y Registro de asistencia homologada.

Check list y resultados y resultados de encuesta de satisfacción."
Capacitación,Clausura de Capacitación,Virtual,Sesión de terminación de capacitación,"1. Diseñar diploma digital por conclusión de curso de cada nuevo ingreso. 
2. Diseñar programa de ceremonia de clausura.
3. Diseño de Check list y encuesta de satisfacción.
4. Agendar sesión vía zoom.       
5. Enviar invitación a participantes (Nuevos ingresos, Gerente de RH, y Jefes/Coordinador de zona).
6. Realizar sesión.
7. Implementar programa (presentar diplomas digitales y felicitaciones). 
8. Compartir link de de Check list y encuesta de satisfacción.
9. Cerrar sesión.
",Jefaturas/Coordinación de zona.,Al día siguiente de liberación del candidato de capacitación.,"Correo de notificación de liberación del candidato.

Diplomas digitales.

Captura de pantalla de sesión.

Lista de asistencia a sesión. 

Resultados de encuesta de satisfacción.
"
Capacitación,Inducción Institucional,Virtual,Sesión vía teams,"1.Preparar la presentación de la inducción (Giro, servicios, estructura organizacional, cultura organizacional, ubicaciones, Reglamento Interno de Trabajo, políticas, código de vestimenta) y video.
2. Preparar video de bienvenida breve de Gerente General, Gerente de Zona y Gerente de RH). 
3. Diseñar Chek list , encuesta de satisfacción y de evaluación del curso. 
4. Agendar sesión vía teams.       
5. Enviar invitación a participantes (Responsables de RH).
6. Presentar video de bienvenida.
7. Exponer presentación de inducción.
8. Espacio para dudas, preguntas y comentarios.
9. Compartir link de Chek list , encuesta de satisfacción y de evaluación del curso. 
10. Cerrar sesión. ",Encargada de capacitación.,El dia de la contratación.,"Registro de asistencia.

Chek list , encuesta de satisfacción y de evaluación del curso. "
Vinculación,Kit Bienvenida AMarine,Presencial,Reunión presencial.,"1. Preparar kit de bienvenida (Contrato, reglamento, tarjetas, gafet, DP, uniformes, carta de bienvenida del Director/Gerente, regalo: termo de agua y/o taza, libreta, lapicero personalizado, carta de bienvenida).
2. Diseñar checklist y encuesta de satisfacción. 
3. Recabar firmas para carta de bienvenida (Director y Gerencia zona y de RH) al menos 2 dias antes del ingreso.
4. Notificacion por correo de ingreso del personal (1 día antes).
5. Preparar sala de capacitación (limpieza, equipos de audio y visual funcionen correctamente, coffe break (galletas, cafe, desayuno).
6. Preparar banner de bienvenida personalizado. 
7. Dirigir a sala de capacitación. 
8. Presentar banner personalizado de bienvenida.
9. Tiempo de presentación breve de los jefes.
10. Entregar Kit de bienvenida.
11. Compartir coffe break (20 min).
12. Finalizar coffe brek.
13. Compartir checklist y encuesta de satisfacción al nuevo ingreso. ",Recursos Humanos de zona.,El día de la contratación.,Foto con jefes de área y kit de bienvenida.
Vinculación,Conoce AMarine,Presencial,Recorrido presencial.,"1. Planeación del recorrido en las instalaciones. (responsable del recorrido, asegurar que ya cuenta con equipo de protección para determinadas áreas).
2. Diseñar checklist y encuesta de satisfacción.  
3. Llevar al nuevo ingreso a las diferentes áreas de trabajo explicando brevemente lo que realizan en ellas y presentarlo con los colaboradores.
4. Llevar al nuevo ingreso a su área de trabajo y presentar  con su equipo.
5. Compartir encuesta de satisfacción. 
6. Cierre de primer día con el nuevo ingreso y retroalimentación sobre como se sintió en su primer día.",Recursos Humanos de zona.,Primer día,Checklist y resultados de encuesta de satisfacción.
Vinculación,Revista Mensual de Nuevos Ingresos y Promociones,Virtual,Comunicación interna.,"1. Enviar información por parte de los responsables de RH de zona (Nombre, puesto, area y fotografía).
2. Diseñar revista.
3. Enviar a validación a los Responsables de RH para Vo.Bo, posteriormente a Gerente de RH.
4. Enviar diseño autorizado a Gerencia de RH para publicación de comunicación interna.",Encargada de capacitación.,Ultimo día de cada mes.,Revista y correo enviado por parte de comunicación interna.
Primer semana ,Asignación de mentor,Presencial ,Acompañamiento.,"1. Diseño de plan de acompañamiento (Mentor).
2. Seleccionar un acompañante para el nuevo ingreso.
3. Platica del proceso de acompañamiento (al Mentor).
4. Presentar al Mentor con el nuevo ingreso. 
5. Explicar el proceso de acompañamiento durante los seis meses al nuevo ingreso.",Recursos Humanos de zona.,Primer día,
Primer semana ,Cafe y donas,Presencial,Reunión informal,"1. Planear reunión  (que hacer, como, cuando, donde, quienes tiempo).
2. Diseño de Checklist y encuesta de satisfacción.
3. Citar a colaboradores de nuevo ingreso.
4. Hacer reunión y compartir café y donas.
5. Tomar foto de grupo de nuevo ingreso. 
6. Compartir Checklist y encuesta de satisfacción.
7. Terminar reunión.","Gerente de operaciones, Recursos Humanos y colaboradores de nuevo ingreso. ",En los primeros 3 meses por nuevos ingresos.,"Foto en reunión.
Lista de asistencia.

Checklist y resultado de encuesta de satisfacción."
